Epoch 1, Loss: 0.45058754086494446
Epoch 2, Loss: 0.3093557357788086
Epoch 3, Loss: 0.3114456534385681
Epoch 4, Loss: 0.26207423210144043
Epoch 5, Loss: 0.14205148816108704
Epoch 6, Loss: 0.2618429958820343
Epoch 7, Loss: 0.2409205436706543
Epoch 8, Loss: 0.14418843388557434
Epoch 9, Loss: 0.12244323641061783
Epoch 10, Loss: 0.3081029951572418
Epoch 11, Loss: 0.2646888494491577
Epoch 12, Loss: 0.1956150382757187
Epoch 13, Loss: 0.24939818680286407
Epoch 14, Loss: 0.13138383626937866
Epoch 15, Loss: 0.21517151594161987
Epoch 16, Loss: 0.30427780747413635
Epoch 17, Loss: 0.07357075810432434
Epoch 18, Loss: 0.08338799327611923
Epoch 19, Loss: 0.1238606721162796
Epoch 20, Loss: 0.11697026342153549
Epoch 21, Loss: 0.12516015768051147
Epoch 22, Loss: 0.07129738479852676
Epoch 23, Loss: 0.15002880990505219
Epoch 24, Loss: 0.12631742656230927
Epoch 25, Loss: 0.1506797820329666
Epoch 26, Loss: 0.10326280444860458
Epoch 27, Loss: 0.03641349822282791
Epoch 28, Loss: 0.0900595486164093
Epoch 29, Loss: 0.14642108976840973
Epoch 30, Loss: 0.10148736089468002
Epoch 31, Loss: 0.16622455418109894
Epoch 32, Loss: 0.19316448271274567
Epoch 33, Loss: 0.1285158395767212
Epoch 34, Loss: 0.12534798681735992
Epoch 35, Loss: 0.09039666503667831
Epoch 36, Loss: 0.10341840982437134
Epoch 37, Loss: 0.1473681479692459
Epoch 38, Loss: 0.10388559103012085
Epoch 39, Loss: 0.10407190024852753
Epoch 40, Loss: 0.22887340188026428
Epoch 41, Loss: 0.2533789873123169
Epoch 42, Loss: 0.20931750535964966
Epoch 43, Loss: 0.10719476640224457
Epoch 44, Loss: 0.18267616629600525
Epoch 45, Loss: 0.12160194665193558
Epoch 46, Loss: 0.18128515779972076
Epoch 47, Loss: 0.17670804262161255
Epoch 48, Loss: 0.10880959779024124
Epoch 49, Loss: 0.22743795812129974
Epoch 50, Loss: 0.13730360567569733
Accuracy: 98.55%
